timestamp,building_name,current_investment,max_investment
2025-11-29T15:24:38.720591,Mausoleum,11,2000
2025-11-29T15:24:42.584870,Summoner's Tent,910,2000
2025-11-29T15:24:46.431482,Town Hall,650,2000
2025-11-29T15:24:50.076736,Temple,0,2000
2025-11-29T15:24:53.793762,Iron Mine,3,3000
2025-11-29T15:24:57.556799,Lumberyard,1,3000
2025-11-29T15:25:01.289508,Master Lodge,1,3000
2025-11-29T15:25:04.901238,Tavern,1,1000
2025-11-29T15:25:23.310407,Master Lodge,405,2000
2025-11-29T15:25:30.350585,Laboratory,1,2000
2025-11-29T15:25:41.302581,Jewel Storehouse,11,2000
2025-11-29T15:25:59.453026,Tailor Workshop,19,2000
2025-11-29T15:26:10.315238,Weaver Mill,1,2000
2025-11-29T15:26:13.964831,Emerald Inn,1,1500
2025-11-29T15:26:17.647588,Oil Press,1,3000
2025-11-29T15:26:21.344747,Smithy,726,2000
2025-11-29T15:26:25.067441,Smelter,1,3000
2025-11-29T15:26:28.580238,Iron Mine,0,2000
2025-11-29T15:26:32.034616,Ether Well,1,2000
2025-11-29T15:26:35.805859,Wizard Tower,1,2000
