timestamp,building_name,level,current_investment,max_investment
2025-11-29T16:33:01.289180,Ether Well,15,1388,2000
2025-11-29T16:33:01.290473,Wizard Tower,17,1080,2000
2025-11-29T16:33:01.290591,Mausoleum,15,244,2000
2025-11-29T16:33:01.290678,Summoner's Tent,14,910,2000
2025-11-29T16:33:01.290755,Town Hall,17,650,2000
2025-11-29T16:33:01.290829,Temple,17,0,2000
2025-11-29T16:33:01.290908,Ironwood Sawmill,16,3,3000
2025-11-29T16:33:01.290981,Lumberyard,16,2482,3000
2025-11-29T16:33:01.291054,Wood Workshop,16,2311,3000
2025-11-29T16:33:01.291125,Tavern,24,627,1000
2025-11-29T16:33:01.291195,Training Hall,18,2553,3000
2025-11-29T16:33:01.291266,Amphitheatre,14,522,2000
2025-11-29T16:33:01.291336,Apothecary,16,2080,3000
2025-11-29T16:33:01.291405,Garden,16,2402,3000
2025-11-29T16:33:01.291475,Master Lodge,17,405,2000
2025-11-29T16:33:01.291543,Sol Tower,17,1352,2000
2025-11-29T16:33:01.291612,Laboratory,14,1139,2000
2025-11-29T16:33:01.291681,Bakery,14,1030,2000
2025-11-29T16:33:01.291750,Restaurant,16,1940,3000
2025-11-29T16:33:01.291820,Jewel Workshop,17,90,2000
2025-11-29T16:33:01.291889,Jewel Storehouse,15,1377,2000
2025-11-29T16:33:01.291957,Luna Tower,14,1765,2000
2025-11-29T16:33:01.292025,Academy,14,1800,2000
2025-11-29T16:33:01.292093,Tannery,16,2619,3000
2025-11-29T16:33:01.292169,Tailor Workshop,17,19,2000
2025-11-29T16:33:01.292247,Military Camp,13,845,4000
2025-11-29T16:33:01.292318,Wind Nexus,14,527,2000
2025-11-29T16:33:01.292393,Weaver Mill,15,1380,2000
2025-11-29T16:33:01.292466,Emerald Inn,18,913,500
